,gameID,HomeAway,Outcome,goals,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,OPPgoals,OPPpim,OPPshots,OPPpowerPlayPercentage,OPPpowerPlayGoals,OPPpowerPlayOpportunities,OPPfaceOffWinPercentage,OPPblocked,OPPtakeaways,OPPgiveaways,OPPhits
53,2014020820,Away, loss,0,23,37,0,0,2,50,11,6,8,20,2,8,28,0,0,3,50,14,10,8,13
54,2014020834,Home,,1,9,41,0,0,2,51.5,9,4,8,31,1,13,33,0,0,0,48.5,12,6,1,23
55,2014020850,Away,Win,3,9,17,40,2,5,55.1,12,7,14,39,2,15,29,100,2,2,44.9,12,4,18,39
56,2014020864,Away,,2,7,21,0,0,1,38.5,11,7,10,42,2,7,39,0,0,1,61.5,13,7,11,31
57,2014020877,Away, loss,1,13,22,0,0,2,54,8,8,7,30,4,9,39,0,0,4,46,5,15,7,37
58,2014020888,Away, loss,1,6,35,0,0,3,46.3,17,4,2,22,5,6,26,33.3,1,3,53.7,12,7,7,25
59,2014020903,Away,,2,10,36,0,0,3,60.3,16,4,1,34,2,10,38,33.3,1,3,39.7,14,8,4,18
60,2014020912,Home, loss,0,10,20,0,0,1,36.4,14,3,0,50,3,4,29,0,0,4,63.6,15,5,3,23
61,2014020923,Home,Win,5,8,47,33.3,2,6,52.4,9,1,3,26,3,14,14,0,0,3,47.6,17,2,1,28
62,2014020934,Home,Win,4,10,26,20,1,5,51.7,6,5,5,31,3,14,23,0,0,2,48.3,15,5,6,30
63,2014020946,Home, loss,2,4,42,33.3,1,3,55.1,11,5,4,23,3,6,34,50,1,2,44.9,9,6,1,32
64,2014020960,Home,,3,9,24,0,0,2,41.4,20,12,5,36,3,9,32,0,0,2,58.6,7,6,5,41
65,2014020973,Home,,3,10,18,0,0,1,48.4,15,16,8,42,3,6,28,33.3,1,3,51.6,12,9,1,40
66,2014021007,Home,Win,4,4,20,33.3,1,3,53.8,12,6,6,32,2,6,20,0,0,2,46.2,6,2,2,32
67,2014021024,Away,Win,2,8,22,33.3,1,3,42,15,10,16,29,0,10,27,0,0,2,58,14,11,20,26
68,2014021030,Away, loss,1,4,39,0,0,3,58.1,8,12,9,17,2,6,34,0,0,2,41.9,36,10,9,21
69,2014021044,Home, loss,2,10,43,0,0,4,57.1,5,7,1,35,3,10,25,0,0,3,42.9,15,3,3,22
70,2014021056,Home,Win,3,4,32,0,0,3,49.2,7,6,4,34,1,6,27,0,0,2,50.8,4,3,5,21
71,2014021071,Home,,1,6,25,0,0,3,36.9,9,10,4,49,1,6,27,33.3,1,3,63.1,11,1,0,33
72,2014021095,Away, loss,3,0,36,0,0,2,43.4,10,4,8,24,4,4,25,0,0,0,56.6,12,9,8,19
73,2014021106,Away,Win,4,10,28,0,0,1,34.4,13,8,10,21,1,16,25,0,0,3,65.6,13,10,8,37
74,2014021122,Away,Overtime Loss,2,10,23,100,1,1,51.5,21,2,9,38,3,4,25,50,2,4,48.5,20,3,18,25
75,2014021129,Away,Win,4,14,37,40,2,5,50,27,9,9,26,2,14,27,20,1,5,50,15,12,11,38
76,2014021142,Away, loss,2,8,24,33.3,1,3,37.3,16,8,5,32,3,6,29,0,0,4,62.7,13,2,8,23
77,2014021157,Home,Win,6,4,35,0,0,1,48.4,9,7,4,22,1,2,32,50,1,2,51.6,11,3,5,24
78,2014021172,Home, loss,0,2,34,0,0,4,45.1,9,4,6,32,4,8,22,100,1,1,54.9,12,4,2,23
79,2014021181,Home, loss,1,14,25,25,1,4,50.7,11,1,6,27,4,8,28,14.3,1,7,49.3,19,2,0,25
80,2014021207,Home,Win,4,17,30,33.3,1,3,50,13,4,8,24,2,17,36,33.3,1,3,50,16,6,4,29
81,2014021222,Home,Win,3,14,27,33.3,1,3,57.4,10,3,5,11,2,29,33,0,0,1,42.6,17,3,2,26
82,2015020020,Home,Win,7,17,30,42.9,3,7,51.4,10,4,2,31,1,23,39,25,1,4,48.6,10,5,1,38
83,2015020035,Away, loss,0,12,31,0,0,6,50,14,3,3,22,1,18,33,0,0,3,50,17,7,14,31
84,2015020041,Away,Win,4,8,30,0,0,3,55.8,18,11,6,23,1,6,23,0,0,4,44.2,6,10,18,16
85,2015020055,Home,Win,3,12,29,40,2,5,57.4,9,4,4,31,2,10,26,16.7,1,6,42.6,5,4,1,29
86,2015020068,Home, loss,2,6,26,0,0,1,49.1,13,2,5,36,4,4,37,50,1,2,50.9,10,1,6,23
87,2015020083,Away,Overtime Loss,2,6,33,0,0,2,45.9,14,0,6,31,3,4,35,66.7,2,3,54.1,11,5,8,31
88,2015020097,Away, loss,2,16,19,25,1,4,50.6,15,5,8,30,3,8,27,25,2,8,49.4,8,4,7,15
89,2015020113,Away,Win,6,15,30,0,0,2,50,22,7,9,19,2,11,35,25,1,4,50,14,6,20,24
90,2015020128,Home,Win,4,10,28,100,3,3,48.4,13,8,6,25,1,6,32,0,0,5,51.6,9,4,1,30
91,2015020150,Home, loss,1,6,32,16.7,1,6,46,6,6,5,34,3,25,30,66.7,2,3,54,17,8,2,41
92,2015020160,Home,Overtime Loss,1,4,27,0,0,3,45.5,12,6,5,34,2,6,27,0,0,2,54.5,6,5,1,35
93,2015020184,Away,,2,10,25,0,0,3,45.1,19,8,8,27,2,6,39,20,1,5,54.9,16,5,9,29
94,2015020193,Away, loss,2,9,33,33.3,1,3,49.1,13,11,13,25,5,11,32,0,0,2,50.9,18,9,11,17
95,2015020201,Away, loss,1,2,19,0,0,3,41.2,9,4,6,39,4,6,35,100,1,1,58.8,10,3,10,36
96,2015020222,Home,Win,4,7,31,50,1,2,41.1,12,2,3,31,3,9,28,100,1,1,58.9,16,4,2,24
97,2015020236,Home, loss,2,2,38,33.3,1,3,60.7,8,5,4,35,3,6,19,100,1,1,39.3,16,2,0,33
98,2015020251,Away,,4,18,23,25,1,4,52.6,8,6,12,32,4,22,28,0,0,2,47.4,16,4,6,23
99,2015020265,Home,Win,1,8,20,0,0,3,45.6,10,9,9,25,0,8,39,0,0,3,54.4,11,2,3,27
100,2015020285,Home, loss,1,11,25,0,0,3,50,8,3,9,22,3,11,41,33.3,1,3,50,9,9,6,39
101,2015020296,Home,Overtime Loss,4,6,43,33.3,2,6,57,8,4,11,22,5,14,31,50,1,2,43,12,6,3,28
102,2015020313,Home, loss,1,8,34,20,1,5,55.7,9,4,5,29,3,10,32,0,0,4,44.3,7,7,2,37
